Part of Speech,Latin Vocab Entry,English Definition,Chapter
Subordinating Conjunction,quamquam,although,17
Noun,"adventus, adventus m.",arrival,18
Noun,"aestus, aestus m.",heat; tide,18
Noun,"*arx, arcis f.","citadel, summit",18
Noun,"aurum, auri n.",gold,18
Noun,"auxilium, auxilii n.","aid, help; in pl. often auxiliary troops",18
Noun,"mos, moris m.","custom, tradition",18
Noun,"*orbis, orbis m.",circle; universe,18
Noun,orbis terrarum,the world,18
Noun,"scelus, sceleris n.","crime, wicked deed, wickedness",18
Noun,"senex, senis m.",old man,18
Noun,"vox, vocis f.",voice,18
Verb,"cognosco, cognoscere, cognovi, cognitus","to learn, recognize, understand",18
Verb,"efficio, efficere, effeci, effectus","to bring about, produce",18
Adjective,"aureus, aurea, aureum","golden, of gold",18
Adjective,"Graecus, Graeca, Graecum",Greek,18
Adjective,"levis, leve","light, easy; swift",18
Adjective,"qui, quae, quod","which ____ ?, what _____?",18
Adjective,tot,"so many, as many",18
Pronoun,"idem, eadem, idem",the same,18
Pronoun,"ipse, ipsa, ipsum","____self; himself, herself, itself, themselves; very",18
Pronoun,"quis, quid","who?, what?",18
